INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
Bergin University of Canine Studies	5860 Labath Avenue	Santa Rosa	CA	94928	-122.720731	38.35374										
Northwest Nannies Institute	11830 SW Kerr Pky Ste 330	Lake Oswego	OR	97035	-122.707017	45.426877										
Linfield College-School of Nursing	2255 NW Northrup St	Portland	OR	97210	-122.697345	45.531529										
Southern Oregon University	1250 Siskiyou Blvd	Ashland	OR	97520	-122.694034	42.186467										
Portland Actors Conservatory	1436 SW Montgomery St	Portland	OR	97201	-122.691101	45.51379										
Beau Monde College of Hair Design	1221 SW 12th Avenue	Portland	OR	97205	-122.686506	45.516919										
Aveda Institute-Portland	325 Northwest 13th Avenue	Portland	OR	97209	-122.684541	45.52484										
Pacific Northwest College of Art	1241 NW Johnson	Portland	OR	97209	-122.683773	45.528648										
Portland State University	724 SW Harrison	Portland	OR	97201	-122.683553	45.511229										
The Art Institute of Portland	1122 NW Davis St.	Portland	OR	97209	-122.682644	45.524116										
Multnomah University	8435 NE Glisan St	Portland	OR	97220	-122.682518	45.518218										
Sanford-Brown College-Portland	600 South West 10th Avenue	Portland	OR	97205	-122.68141	45.520225										
Paul Mitchell the School-Portland	234 SW Broadway	Portland	OR	97205	-122.677731	45.52213										
Everest College-Portland	425 SW Washington	Portland	OR	97204	-122.676052	45.520236										
American College of Healthcare Sciences	5940 SW Hood Ave	Portland	OR	97239	-122.674511	45.48044										
Sonoma State University	1801 E Cotati Ave	Rohnert Park	CA	94928	-122.673261	38.341023										
Lewis & Clark College	0615 S W Palatine Hill Rd	Portland	OR	97219	-122.672478	45.450547										
Oregon College of Oriental Medicine	75 NW Couch	Portland	OR	97209	-122.671124	45.523919										
East West College of the Healing Arts	525 NE Oregon St	Portland	OR	97232	-122.660367	45.528658										
Clark College	1933 Fort Vancouver Way	Vancouver	WA	98663	-122.652976	45.634307										
Phagans School of Hair Design-Portland	1542 NE Weidler Ave	Portland	OR	97232	-122.649934	45.534103										
Marylhurst University	17600 Pacific Hwy (Hwy 43)	Marylhurst	OR	97036	-122.647755	45.398174										
Emil Fries Piano Hospital and Training Center	2510 E Evergreen Blvd	Vancouver	WA	98661	-122.645525	45.625899										
International Air and Hospitality Academy	2901 E Mill Plain Blvd	Vancouver	WA	98661	-122.640487	45.628183										
Concordia University-Portland	2811 NE Holman Street	Portland	OR	97211	-122.637944	45.568242										
